"","iso2c","iso3c","country","date","CO2","Y","E_kwh","Y2","MVA","HDI","KOF"
"1","EG","EGY","Egypt, Arab Rep.",1990,0.427629804406343,8.36812945114494,8.83048004079778,70.0255905111194,-1.77343161178839,-0.567395975254385,3.91706254693297
"2","EG","EGY","Egypt, Arab Rep.",1991,0.421856522409008,8.40169861024929,8.81933860368015,70.5885395374648,-1.83147098611245,-0.555125882662571,3.97967609227179
"3","EG","EGY","Egypt, Arab Rep.",1992,0.415636025180621,8.40673548490277,8.78644919168496,70.6732015131234,-1.85649930466106,-0.544727175441672,4.00123476309751
"4","EG","EGY","Egypt, Arab Rep.",1993,0.411837494007406,8.42762203188607,8.76422309867595,71.0248131123316,-1.84931213906656,-0.532730459154041,4.00367556155923
"5","EG","EGY","Egypt, Arab Rep.",1994,0.336638508316094,8.47004246263791,8.79218326006196,71.7416193188892,-1.83151060874681,-0.520875959619492,4.05417691853108
"6","EG","EGY","Egypt, Arab Rep.",1995,0.378848528433358,8.51182500847044,8.8280769607176,72.4511649748228,-1.81166210152457,-0.509160344446929,4.05345247018282
"7","EG","EGY","Egypt, Arab Rep.",1996,0.411469625385862,8.55698354998307,8.85870854725064,73.2219674746808,-1.79956667537222,-0.49429632181478,4.05157554875789
"8","EG","EGY","Egypt, Arab Rep.",1997,0.459383339683418,8.6097187705435,8.87798431226349,74.127257307849,-1.81305263894821,-0.486133011175619,4.06686811135698
"9","EG","EGY","Egypt, Arab Rep.",1998,0.483326356259649,8.67384439945823,8.89693247668944,75.2355766660129,-1.77318564523223,-0.478035800943,4.07660441226943
"10","EG","EGY","Egypt, Arab Rep.",1999,0.511015755908403,8.72621526231563,8.94636766465774,76.1468328042702,-1.71738448832531,-0.470003629245736,4.08596188712174
"11","EG","EGY","Egypt, Arab Rep.",2000,0.473676628286573,8.77893079803625,8.98291864480412,77.0696259567093,-1.71491114639186,-0.463624022281697,4.09383618818956
"12","EG","EGY","Egypt, Arab Rep.",2001,0.553395793448557,8.81572246963634,9.0050178289848,77.716962661651,-1.73171423101749,-0.457284856837961,4.10705777327193
"13","EG","EGY","Egypt, Arab Rep.",2002,0.553854670059831,8.8427890656923,9.01224181018469,78.1949184603273,-1.68757494168539,-0.455706324544911,4.08010905513162
"14","EG","EGY","Egypt, Arab Rep.",2003,0.56025188138659,8.87297101306108,9.04829109687939,78.7296145986221,-1.75424218674342,-0.45886588483528,4.08211950245187
"15","EG","EGY","Egypt, Arab Rep.",2004,0.62273922166569,8.92067299678108,9.08229663743245,79.5784067154992,-1.75811387447717,-0.454130280089445,4.10907928462739
"16","EG","EGY","Egypt, Arab Rep.",2005,0.718534872012357,8.97529540392802,9.0876011622543,80.5559275877715,-1.78919007101072,-0.450985623409974,4.15112052192043
"17","EG","EGY","Egypt, Arab Rep.",2006,0.750304519526173,9.05087196138141,9.1199938030483,81.9182832613202,-1.83398482779918,-0.443166975292176,4.17625121207674
"18","EG","EGY","Egypt, Arab Rep.",2007,0.802262674473928,9.12687821631507,9.16351948251187,83.2999059754466,-1.87275752031487,-0.432322562278047,4.19830043582615
"19","EG","EGY","Egypt, Arab Rep.",2008,0.817715693270519,9.19357115124676,9.20242583448877,84.5217505130367,-1.86288814468807,-0.421594490038048,4.21507170988359
"20","EG","EGY","Egypt, Arab Rep.",2009,0.838022092231387,9.22304176666582,9.21810028581464,85.0644994296622,-1.84603694096249,-0.414001439130451,4.20411011060696
"21","EG","EGY","Egypt, Arab Rep.",2010,0.831077424006192,9.26217636907397,9.23589856106662,85.7879110918323,-1.82620987775164,-0.404965233066513,4.21221699908318
"22","EG","EGY","Egypt, Arab Rep.",2011,0.835864273680029,9.27747664104298,9.26070795802795,86.071572825098,-1.84723871944646,-0.398986142010455,4.20096172662571
"23","EG","EGY","Egypt, Arab Rep.",2012,0.857144695758155,9.41533005444469,9.27691609785233,88.6484400341295,-1.82229291309023,-0.387134151423441,4.19623983708768
"24","EG","EGY","Egypt, Arab Rep.",2013,0.828650168301822,9.42095390951459,9.24648154050339,88.7543725651982,-1.79526280364625,-0.379797361359587,4.18086542900139
"25","EG","EGY","Egypt, Arab Rep.",2014,0.829532021075866,9.38830260738751,9.21030217124654,88.140225847879,-1.78531350713647,-0.373966441048793,4.18506566681583
"26","EG","EGY","Egypt, Arab Rep.",2015,0.839643957825695,9.4420455675923,9.20467837306988,89.1522245004893,-1.78991447785804,-0.363843433417345,4.15272056403646
"27","EG","EGY","Egypt, Arab Rep.",2016,0.858387639027389,9.41562507922297,9.23776330263409,88.6539956324925,-1.78133438400053,-0.353821874956326,4.15015492517088
"28","EG","EGY","Egypt, Arab Rep.",2017,0.876475103949891,9.37212234498822,9.2564264548395,87.8366772494275,-1.7961578886436,-0.34389975245001,4.20865058114221
"29","EG","EGY","Egypt, Arab Rep.",2018,0.830304099448096,9.42691374687315,9.238608924728,88.866702790986,-1.81088788159815,-0.332679438382517,4.21939864376612
"30","EG","EGY","Egypt, Arab Rep.",2019,0.724239167737042,9.48730620509176,9.20226223148043,90.0089790291726,-1.83331304427953,-0.322963886596421,4.21289792646091
"31","IR","IRN","Iran, Islamic Rep.",1990,1.26898683345227,8.95848312496727,9.58471253230977,80.2544199003234,-1.93016434202533,-0.489390343045926,3.28634871241893
"32","IR","IRN","Iran, Islamic Rep.",1991,1.32924791500193,9.08714090641178,9.62765097767041,82.5761298529823,-1.83542220373632,-0.460449416440924,3.37720217038254
"33","IR","IRN","Iran, Islamic Rep.",1992,1.37000511680449,9.12756129886726,9.70475181716401,83.3123752645793,-1.82832159718273,-0.449416995637347,3.42900920643974
"34","IR","IRN","Iran, Islamic Rep.",1993,1.37665596162695,9.12158751585527,9.6207209791994,83.2033588094067,-1.99772872936904,-0.440056552877783,3.49490259859124
"35","IR","IRN","Iran, Islamic Rep.",1994,1.49200654014417,9.11103117675786,9.7301104743609,83.0108891038538,-1.86352310359894,-0.432322562278047,3.45266351458211
"36","IR","IRN","Iran, Islamic Rep.",1995,1.49652955296153,9.14093713058473,9.76433369773824,83.5567316253027,-1.87442466270357,-0.421594490038048,3.44960406496163
"37","IR","IRN","Iran, Islamic Rep.",1996,1.51348276744749,9.20609196024142,9.83540473111369,84.7521291804217,-1.80147392013255,-0.409473129505703,3.46936162895615
"38","IR","IRN","Iran, Islamic Rep.",1997,1.54326290367759,9.22108771186593,9.85135490599109,85.0284585899248,-1.74663420780376,-0.398986142010455,3.47421166353579
"39","IR","IRN","Iran, Islamic Rep.",1998,1.52288215446133,9.23904453727493,9.87655937167411,85.3599439617498,-1.77840627476797,-0.390084006069862,3.51538736339828
"40","IR","IRN","Iran, Islamic Rep.",1999,1.61249389392766,9.26214883364228,9.93559431954896,85.7874010165411,-1.79216028613045,-0.378336440719912,3.57724776863962
"41","IR","IRN","Iran, Islamic Rep.",2000,1.64755896672888,9.32544114691874,9.96680079207269,86.9638525846451,-1.79340732503076,-0.368169323364468,3.63143717529188
"42","IR","IRN","Iran, Islamic Rep.",2001,1.66966227946319,9.35465714274442,10.0158950547557,87.5096102582992,-1.76328098930245,-0.356674943938732,3.65319056739136
"43","IR","IRN","Iran, Islamic Rep.",2002,1.70360419092191,9.43129112085548,10.0922965618962,88.9492522063274,-1.89069644591435,-0.345311185288417,3.79314567847384
"44","IR","IRN","Iran, Islamic Rep.",2003,1.7467337452761,9.50876503561744,10.1011916474415,90.4166125025807,-1.91100694144697,-0.338273858567841,3.81819663329416
"45","IR","IRN","Iran, Islamic Rep.",2004,1.79966873066542,9.56256608273994,10.1858958932784,91.4426700867683,-1.85135443611546,-0.325730140089311,3.80913880485027
"46","IR","IRN","Iran, Islamic Rep.",2005,1.85991391195263,9.60966815182179,10.227252716624,92.345721988138,-1.89435766577687,-0.318828801448618,3.83754873178166
"47","IR","IRN","Iran, Islamic Rep.",2006,1.91589858192336,9.67301602960224,10.3004978189895,93.567239108942,-1.89488873483798,-0.303811454381665,3.88652035338809
"48","IR","IRN","Iran, Islamic Rep.",2007,1.96140837939656,9.76356164421929,10.3471204478707,95.3271359804701,-2.04735267939643,-0.298406035814757,3.88966430654537
"49","IR","IRN","Iran, Islamic Rep.",2008,1.96486229286813,9.77493636664095,10.3637164392622,95.5493809718797,-2.04265009967793,-0.295714244149045,3.90588244081406
"50","IR","IRN","Iran, Islamic Rep.",2009,1.98739778482962,9.77831858289848,10.3738963184529,95.6155143086577,-2.01932608327042,-0.29035230100766,3.91561343018389
"51","IR","IRN","Iran, Islamic Rep.",2010,1.97127503079976,9.83371627102383,10.3774763865441,96.7019756989988,-2.05698298849706,-0.279713902802604,3.93881985976995
"52","IR","IRN","Iran, Islamic Rep.",2011,1.9784042876127,9.86695976220921,10.4083019449994,97.3568949490556,-1.98106758963358,-0.267879445155601,3.96641472045704
"53","IR","IRN","Iran, Islamic Rep.",2012,1.97835765642103,9.74335982066872,10.4067353872445,94.9330605950217,-1.80928012936537,-0.2484613592985,3.95774049256356
"54","IR","IRN","Iran, Islamic Rep.",2013,2.00681718546798,9.69512897534047,10.4267086144525,93.9955258484864,-1.84961981930822,-0.2484613592985,3.9670489184252
"55","IR","IRN","Iran, Islamic Rep.",2014,2.02426946004924,9.68695236778955,10.4479872080971,93.8370461758236,-1.85887695357261,-0.244622582991334,3.96315852675006
"56","IR","IRN","Iran, Islamic Rep.",2015,1.99140129083247,9.56995970693816,10.4213158204577,91.58412879242,-2.00613573506303,-0.245900538436826,3.97087244270188
"57","IR","IRN","Iran, Islamic Rep.",2016,1.98636172195735,9.6344255784033,10.4503588447158,92.8221562257917,-2.04446096088915,-0.242071561199729,3.98261395437069
"58","IR","IRN","Iran, Islamic Rep.",2017,2.00322208034974,9.66813141777889,10.4726640621979,93.4727651114432,-1.9839566471514,-0.238257189124258,3.96931645891014
"59","IR","IRN","Iran, Islamic Rep.",2018,2.00755984596827,9.65979965391945,10.4929644548485,93.3117293538624,-1.8555227805783,-0.239527030564734,3.99106033445542
"60","IR","IRN","Iran, Islamic Rep.",2019,1.97726761051301,9.63325815887061,10.5357184968893,92.7996627554472,-1.71226851016177,-0.242071561199729,4.01212722298887
"61","JO","JOR","Jordan",1990,1.04876225896242,8.44972387301835,9.4019295183577,71.3978335302563,-2.10627327007238,-0.474815186242958,3.97215240181442
"62","JO","JOR","Jordan",1991,0.981257649399188,8.37282546869997,9.29657669035213,70.1042063293109,-2.20108597833371,-0.463624022281697,4.01376022751284
"63","JO","JOR","Jordan",1992,1.1262124031113,8.49788457407704,9.40764979742158,72.2140422343366,-2.15681037700966,-0.441610554744518,4.03047957451811
"64","JO","JOR","Jordan",1993,1.09669039163292,8.51138093291962,9.34425123009457,72.4436053852676,-2.22542193419806,-0.433864582629862,4.05643970454945
"65","JO","JOR","Jordan",1994,1.11098638668426,8.53285726670778,9.43483804605219,72.8096531340077,-2.05973926938393,-0.427710717055484,4.04299899842354
"66","JO","JOR","Jordan",1995,1.11562724230192,8.57019618343751,9.44071102476557,73.4482626226068,-2.11297965947912,-0.41855034765682,4.08389182971944
"67","JO","JOR","Jordan",1996,1.10166504610125,8.57408832615684,9.4795732243629,73.514990624739,-2.21372944762888,-0.412489723045129,4.1269893545052
"68","JO","JOR","Jordan",1997,1.1106934467294,8.60115044264147,9.4187079340544,73.9797889369516,-2.16840668258801,-0.404965233066513,4.15096859555054
"69","JO","JOR","Jordan",1998,1.1042928011394,8.62075847661172,9.46276377400722,74.3174767120728,-2.07748260742563,-0.398986142010455,4.1721945271091
"70","JO","JOR","Jordan",1999,1.08358476571492,8.64494257539927,9.45131645435804,74.7350321319509,-2.07390164814616,-0.391562202939173,4.18194111206734
"71","JO","JOR","Jordan",2000,1.16859606425386,8.68742209255041,9.48193650667632,75.471302614133,-2.04424388264231,-0.384192972832625,4.22243635370781
"72","JO","JOR","Jordan",2001,1.14657044515155,8.73738984488911,9.42064700143925,76.3419813015713,-2.05186972701519,-0.375420986759788,4.23342548750951
"73","JO","JOR","Jordan",2002,1.16266481656148,8.79507595711014,9.44675601810052,77.3533610913368,-1.96649141323449,-0.369615455214467,4.22233868741198
"74","JO","JOR","Jordan",2003,1.16559319426796,8.83104960742096,9.51214610925142,77.9874371687299,-1.93538293936076,-0.360969868221613,4.24061460519017
"75","JO","JOR","Jordan",2004,1.21150829630695,8.91197665332534,9.57007409308267,79.423327869416,-1.85804220921861,-0.346724613085564,4.26198503842574
"76","JO","JOR","Jordan",2005,1.25246762734261,9.00133342633153,9.62623754307078,81.0240034519932,-1.87250826102218,-0.338273858567841,4.28349689930119
"77","JO","JOR","Jordan",2006,1.19977541423807,9.04584808492381,9.59205027965254,81.8273675755197,-1.80592911660353,-0.32989392126109,4.29140712711911
"78","JO","JOR","Jordan",2007,1.18110294111151,9.08955065829013,9.48957529248508,82.6199311696225,-1.69837178777776,-0.334075112021491,4.31101764013935
"79","JO","JOR","Jordan",2008,1.10414412866503,9.15553481153395,9.42789827254768,83.8238176852099,-1.55329474010448,-0.320205264157341,4.30983407911181
"80","JO","JOR","Jordan",2009,1.11439163479061,9.18868753209184,9.44506421216866,84.43197856242,-1.60304413881942,-0.317454230785451,4.29166395074679
"81","JO","JOR","Jordan",2010,1.06948284970762,9.20166081334986,9.4631064904892,84.6705617239384,-1.66460524109573,-0.318828801448618,4.29594214621653
"82","JO","JOR","Jordan",2011,1.07135038418133,9.22362908462278,9.48372256172382,85.0753334906993,-1.64462611684405,-0.3147107448397,4.29254239427115
"83","JO","JOR","Jordan",2012,1.20745086937788,9.24067984029244,9.52886042816789,85.3901639107872,-1.67190537919814,-0.306525160253261,4.29132693452318
"84","JO","JOR","Jordan",2013,1.12929443532057,9.24191626473574,9.45693760286645,85.4130162443871,-1.64627456502877,-0.303811454381665,4.29376189937207
"85","JO","JOR","Jordan",2014,1.08227188799552,9.15457371859994,9.36472291063639,83.8062199692808,-1.66876665051245,-0.3051673867928,4.3105070151657
"86","JO","JOR","Jordan",2015,0.980478083962045,9.13105038094039,9.34985332683478,83.3760810592716,-1.69490753591824,-0.303811454381665,4.28715505839126
"87","JO","JOR","Jordan",2016,0.908972649287305,9.11128328126032,9.36528122524845,83.0154830313739,-1.71449275020742,-0.301105092783922,4.2944259561061
"88","JO","JOR","Jordan",2017,0.935040122582356,9.17254566559178,9.37444059057709,84.1355939873666,-1.71490276901942,-0.295714244149045,4.29021119373465
"89","JO","JOR","Jordan",2018,0.859662467756781,9.19055370055271,9.32664925493654,84.4662773227431,-1.73219666031677,-0.298406035814757,4.29017324564732
"90","JO","JOR","Jordan",2019,0.771783413894372,9.20198546675444,9.32885576161813,84.67653653036,-1.73912516219317,-0.295714244149045,4.29629132637418
"91","MA","MAR","Morocco",1990,-0.133608711500834,7.9644637381575,8.12208951776539,63.4326826364258,-1.64591531715845,-0.802962046567152,3.77063753820786
"92","MA","MAR","Morocco",1991,-0.0777442409465721,8.05134316401069,8.11783440173983,64.8241267446617,-1.69553603366115,-0.789658080940789,3.8648481588553
"93","MA","MAR","Morocco",1992,-0.0207517137063924,8.0258289602619,8.21392378522186,64.4139304993787,-1.66781184050265,-0.778705068921592,3.89892011067084
"94","MA","MAR","Morocco",1993,-0.00894362170464442,8.02124304376872,8.20852742648529,64.340339967208,-1.6575761645224,-0.765717873394781,3.9513207431559
"95","MA","MAR","Morocco",1994,0.0560649674542586,8.13383129751774,8.29068736899822,66.1592115764792,-1.71057396159294,-0.740238788093796,3.95571560725524
"96","MA","MAR","Morocco",1995,0.0792151987051021,8.07438970145713,8.25627240663049,65.195769050997,-1.66733160957375,-0.731888008876376,3.94396984332962
"97","MA","MAR","Morocco",1996,0.0535638281705343,8.20462152697492,8.28584149526111,67.3158144009002,-1.69876185271192,-0.707246104939447,3.86317246803736
"98","MA","MAR","Morocco",1997,0.087547737242145,8.18733209298226,8.31002977489511,67.0324068007772,-1.65762145050911,-0.699165252885508,3.87709448364385
"99","MA","MAR","Morocco",1998,0.0973881764285097,8.2614104809287,8.32106698742582,68.2509031343986,-1.82036164358944,-0.683196849706777,3.87591082856847
"100","MA","MAR","Morocco",1999,0.133420143212143,8.26699134398766,8.34409520640053,68.3431458815669,-1.7977311600565,-0.663588378318401,3.89591123918088
"101","MA","MAR","Morocco",2000,0.140946551706383,8.29155653489632,8.32207012381578,68.7499097713818,-1.7893535215754,-0.644357016390513,3.99869516015452
"102","MA","MAR","Morocco",2001,0.226191190956956,8.37317615897198,8.38631496175436,70.1100789891768,-1.88641626643962,-0.623621117911335,4.02197147579114
"103","MA","MAR","Morocco",2002,0.245891085053467,8.40787886975866,8.39834740123627,70.6924270885342,-1.88929480946396,-0.603306476560156,4.04431032884983
